,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,2 0 +2,1 0 +1,,1 0 +1,1 1 +0
MAGNUM BBL,,,,,0 2 -2
PROFEK BBL,,,,,0 1 -1
Jamppi BBL,,,,,0 2 -2
sociablEE BBL,,1 0 +1,,,0 1 -1
