,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,3 2 +1,1 4 -3,1 3 -2,2 4 -2,5 3 +2
MAGNUM BBL,2 5 -3,2 3 -1,2 2 +0,3 1 +2,1 4 -3
PROFEK BBL,0 3 -3,2 2 +0,1 5 -4,2 5 -3,2 2 +0
Jamppi BBL,2 2 +0,2 6 -4,1 1 +0,3 0 +3,1 5 -4
sociablEE BBL,2 1 +1,4 2 +2,2 4 -2,0 5 -5,0 6 -6
