,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,2 2 +0,2 4 -2,1 4 -3,1 2 -1,1 4 -3
MAGNUM BBL,4 3 +1,1 5 -4,4 1 +3,2 1 +1,0 6 -6
PROFEK BBL,2 1 +1,3 3 +0,3 8 -5,1 0 +1,4 2 +2
Jamppi BBL,2 3 -1,2 2 +0,2 5 -3,2 1 +1,1 6 -5
sociablEE BBL,3 0 +3,4 3 +1,3 5 -2,2 3 -1,7 6 +1
