,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,1 0 +1,1 6 -5,0 1 -1,0 5 -5,0 3 -3
MAGNUM BBL,1 4 -3,1 2 -1,2 2 +0,0 3 -3,4 3 +1
PROFEK BBL,0 2 -2,1 4 -3,1 3 -2,0 4 -4,0 2 -2
Jamppi BBL,1 1 +0,1 2 -1,0 3 -3,3 1 +2,1 5 -4
sociablEE BBL,3 1 +2,0 4 -4,2 4 -2,2 3 -1,4 2 +2
