,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,,1 0 +1,,,0 1 -1
MAGNUM BBL,0 1 -1,0 2 -2,,1 0 +1,0 4 -4
PROFEK BBL,,2 1 +1,1 1 +0,,1 0 +1
Jamppi BBL,0 2 -2,,,,0 1 -1
sociablEE BBL,,,1 0 +1,,0 1 -1
