,Cloud GX,westside GX,grubinho GX,Flickless GX,ara GX
LewN BBL,,0 1 -1,,0 2 -2,0 2 -2
MAGNUM BBL,0 1 -1,,,,1 1 +0
PROFEK BBL,0 1 -1,,1 0 +1,,
Jamppi BBL,,,,,0 1 -1
sociablEE BBL,,,,0 1 -1,2 1 +1
