,brawk NRG,mada NRG,FiNESSE NRG,s0m NRG,Ethan NRG
C0M LEV,1 0 +1,0 1 -1,,,
Rossy LEV,0 2 -2,1 2 -1,,,1 1 +0
tex LEV,,0 4 -4,1 1 +0,0 1 -1,
kiNgg LEV,1 0 +1,1 2 -1,2 1 +1,1 0 +1,
Demon1 LEV,2 0 +2,1 0 +1,,,
