,brawk NRG,mada NRG,FiNESSE NRG,s0m NRG,Ethan NRG
C0M LEV,1 0 +1,0 2 -2,0 1 -1,,
Rossy LEV,0 1 -1,1 1 +0,,,1 0 +1
tex LEV,,0 1 -1,,0 1 -1,
kiNgg LEV,,0 1 -1,1 0 +1,0 1 -1,
Demon1 LEV,0 1 -1,3 2 +1,,,2 0 +2
