,brawk NRG,mada NRG,FiNESSE NRG,s0m NRG,Ethan NRG
C0M LEV,3 5 -2,1 4 -3,3 2 +1,3 1 +2,4 4 +0
Rossy LEV,3 6 -3,1 5 -4,2 3 -1,4 3 +1,5 4 +1
tex LEV,1 1 +0,3 9 -6,4 1 +3,3 4 -1,3 4 -1
kiNgg LEV,4 4 +0,6 5 +1,5 2 +3,4 4 +0,3 5 -2
Demon1 LEV,5 3 +2,5 2 +3,5 1 +4,1 2 -1,3 7 -4
