,brawk NRG,mada NRG,FiNESSE NRG,s0m NRG,Ethan NRG
C0M LEV,4 5 -1,3 5 -2,2 2 +0,0 2 -2,1 2 -1
Rossy LEV,0 4 -4,2 5 -3,2 6 -4,2 2 +0,1 1 +0
tex LEV,4 4 +0,3 3 +0,5 1 +4,2 6 -4,3 2 +1
kiNgg LEV,4 1 +3,5 3 +2,2 1 +1,4 5 -1,1 5 -4
Demon1 LEV,1 3 -2,3 8 -5,4 0 +4,3 1 +2,5 5 +0
