,brawk NRG,mada NRG,FiNESSE NRG,s0m NRG,Ethan NRG
C0M LEV,2 0 +2,0 3 -3,0 1 -1,,
Rossy LEV,0 3 -3,2 3 -1,,,2 1 +1
tex LEV,,0 5 -5,1 1 +0,0 2 -2,
kiNgg LEV,1 0 +1,1 3 -2,3 1 +2,1 1 +0,
Demon1 LEV,2 1 +1,4 2 +2,,,2 0 +2
