,brawk NRG,mada NRG,FiNESSE NRG,s0m NRG,Ethan NRG
C0M LEV,7 10 -3,4 9 -5,5 4 +1,3 3 +0,5 6 -1
Rossy LEV,3 10 -7,3 10 -7,4 9 -5,6 5 +1,6 5 +1
tex LEV,5 5 +0,6 12 -6,9 2 +7,5 10 -5,6 6 +0
kiNgg LEV,8 5 +3,11 8 +3,7 3 +4,8 9 -1,4 10 -6
Demon1 LEV,6 6 +0,8 10 -2,9 1 +8,4 3 +1,8 12 -4
