,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
C0M LEV,,1 Round 11 s0m Ethan,2 Round 8 Ethan brawk FiNESSE Round 23 mada Ethan brawk,,,,,,,,51,0,0
Rossy LEV,,3 Round 9 brawk Ethan Round 16 mada FiNESSE Round 23 s0m FiNESSE,1 Round 25 Ethan s0m brawk,,,1 Round 23 FiNESSE,,,,,30,8,1
tex LEV,,1 Round 17 s0m Ethan,1 Round 3 Ethan mada FiNESSE,,,1 Round 8 s0m,,,,,35,0,2
kiNgg LEV,,3 Round 3 brawk s0m Round 6 FiNESSE mada Round 22 brawk FiNESSE,1 Round 20 s0m brawk FiNESSE,,,,,,,,47,0,1
Demon1 LEV,,2 Round 1 mada FiNESSE Round 11 brawk FiNESSE,1 Round 5 mada brawk s0m,1 Round 10 FiNESSE mada Ethan brawk,,,1 Round 22 mada Ethan,,,,45,0,0
FiNESSE NRG,,1 Round 23 kiNgg C0M,,,,,,,,,26,2,0
brawk NRG,,3 Round 6 kiNgg Demon1 Round 14 kiNgg C0M Round 20 Rossy Demon1,2 Round 13 Rossy Demon1 C0M Round 26 Rossy kiNgg C0M,,,,,,,,43,2,1
s0m NRG,,2 Round 1 Rossy kiNgg Round 2 Demon1 tex,1 Round 8 Demon1 kiNgg C0M,,,2 Round 1 kiNgg Round 5 Demon1,,,,,39,3,1
mada NRG,,5 Round 5 kiNgg tex Round 14 tex Rossy Round 23 tex Demon1 Round 27 Rossy kiNgg Round 28 kiNgg C0M,3 Round 12 tex Rossy kiNgg Round 21 C0M tex Rossy Round 22 tex C0M kiNgg,,,,,,,,58,0,0
Ethan NRG,,3 Round 6 tex Rossy Round 16 Demon1 kiNgg Round 19 Rossy tex,3 Round 18 Rossy kiNgg Demon1 Round 24 C0M Demon1 Rossy Round 27 C0M Demon1 tex,,,,1 Round 16 tex C0M,,,,55,2,1
