,kellyS GE,Kr1stal GE,Deryeon GE,UdoTan GE,Papi GE
PatMen PRX,,,,,
something PRX,,1 0 +1,1 0 +1,1 0 +1,1 0 +1
f0rsakeN PRX,,,,,
d4v41 PRX,,,,1 0 +1,
Jinggg PRX,,,0 1 -1,,
