,kellyS GE,Kr1stal GE,Deryeon GE,UdoTan GE,Papi GE
PatMen PRX,5 4 +1,4 8 -4,5 7 -2,1 3 -2,5 4 +1
something PRX,2 5 -3,2 7 -5,2 6 -4,5 8 -3,3 5 -2
f0rsakeN PRX,8 3 +5,10 7 +3,9 5 +4,5 9 -4,6 2 +4
d4v41 PRX,5 4 +1,9 1 +8,10 5 +5,11 6 +5,8 8 +0
Jinggg PRX,12 6 +6,6 7 -1,8 7 +1,8 3 +5,8 3 +5
