,kellyS GE,Kr1stal GE,Deryeon GE,UdoTan GE,Papi GE
PatMen PRX,,0 1 -1,0 5 -5,,0 1 -1
something PRX,0 1 -1,1 1 +0,1 3 -2,2 1 +1,2 2 +0
f0rsakeN PRX,1 1 +0,1 0 +1,1 1 +0,0 1 -1,1 0 +1
d4v41 PRX,1 0 +1,,3 0 +3,2 0 +2,2 1 +1
Jinggg PRX,,1 0 +1,0 1 -1,,0 1 -1
