,kellyS GE,Kr1stal GE,Deryeon GE,UdoTan GE,Papi GE
PatMen PRX,,,0 1 -1,,
something PRX,,0 1 -1,0 1 -1,1 0 +1,1 0 +1
f0rsakeN PRX,,1 0 +1,0 1 -1,,
d4v41 PRX,1 0 +1,1 0 +1,1 0 +1,1 1 +0,
Jinggg PRX,,,0 1 -1,,
