,kellyS GE,Kr1stal GE,Deryeon GE,UdoTan GE,Papi GE
PatMen PRX,1 2 -1,1 5 -4,2 5 -3,1 3 -2,3 1 +2
something PRX,1 2 -1,0 3 -3,0 4 -4,3 4 -1,2 3 -1
f0rsakeN PRX,7 1 +6,7 2 +5,3 3 +0,1 7 -6,3 0 +3
d4v41 PRX,2 4 -2,4 1 +3,7 2 +5,6 5 +1,5 2 +3
Jinggg PRX,8 2 +6,3 5 -2,5 2 +3,4 2 +2,4 3 +1
