,Dambi NS,Ivy NS,margaret NS,Persia NS,Francis NS
CLZ ZETA,,,1 0 +1,,0 1 -1
SyouTa ZETA,1 0 +1,,1 0 +1,,1 0 +1
Dep ZETA,1 1 +0,1 0 +1,1 1 +0,0 1 -1,2 0 +2
SugarZ3ro ZETA,0 1 -1,1 0 +1,0 1 -1,,
Xdll ZETA,1 1 +0,0 2 -2,,0 2 -2,
