,Dambi NS,Ivy NS,margaret NS,Persia NS,Francis NS
CLZ ZETA,0 1 -1,,0 1 -1,0 1 -1,0 1 -1
SyouTa ZETA,1 1 +0,0 1 -1,0 1 -1,,
Dep ZETA,2 2 +0,0 2 -2,1 1 +0,,
SugarZ3ro ZETA,1 0 +1,,,1 0 +1,
Xdll ZETA,1 0 +1,,1 1 +0,1 0 +1,
