,Dambi NS,Ivy NS,margaret NS,Persia NS,Francis NS
CLZ ZETA,0 1 -1,,1 1 +0,0 1 -1,0 2 -2
SyouTa ZETA,2 1 +1,0 1 -1,1 1 +0,,1 0 +1
Dep ZETA,3 3 +0,1 2 -1,2 2 +0,0 1 -1,2 0 +2
SugarZ3ro ZETA,1 1 +0,1 0 +1,0 1 -1,1 0 +1,
Xdll ZETA,2 1 +1,0 2 -2,1 1 +0,1 2 -1,
