,sociablEE BBL,vakk BBL,LewN BBL,Jamppi BBL,PROFEK BBL
kaajak FNC,,0 1 -1,1 5 -4,0 1 -1,
crashies FNC,,,1 1 +0,,0 1 -1
Chronicle FNC,,,1 1 +0,,1 1 +0
Alfajer FNC,,,2 0 +2,,
Boaster FNC,,,2 1 +1,1 0 +1,
