,sociablEE BBL,vakk BBL,LewN BBL,Jamppi BBL,PROFEK BBL
kaajak FNC,2 1 +1,3 2 +1,3 7 -4,6 3 +3,5 1 +4
crashies FNC,2 2 +0,1 1 +0,3 2 +1,2 4 -2,1 3 -2
Chronicle FNC,2 6 -4,3 1 +2,1 4 -3,3 1 +2,2 1 +1
Alfajer FNC,8 3 +5,3 3 +0,6 3 +3,2 2 +0,2 5 -3
Boaster FNC,4 3 +1,5 1 +4,4 3 +1,2 5 -3,2 3 -1
