,sociablEE BBL,vakk BBL,LewN BBL,Jamppi BBL,PROFEK BBL
kaajak FNC,7 7 +0,11 10 +1,10 11 -1,10 8 +2,8 9 -1
crashies FNC,9 10 -1,8 5 +3,10 5 +5,8 9 -1,11 9 +2
Chronicle FNC,11 13 -2,8 6 +2,11 7 +4,11 5 +6,10 7 +3
Alfajer FNC,16 10 +6,9 6 +3,13 12 +1,8 8 +0,8 13 -5
Boaster FNC,8 11 -3,14 5 +9,7 8 -1,13 10 +3,8 11 -3
