,sociablEE BBL,vakk BBL,LewN BBL,Jamppi BBL,PROFEK BBL
kaajak FNC,1 0 +1,1 1 +0,5 6 -1,1 1 +0,0 1 -1
crashies FNC,,2 0 +2,1 1 +0,,1 1 +0
Chronicle FNC,1 1 +0,0 1 -1,2 1 +1,1 1 +0,1 1 +0
Alfajer FNC,2 1 +1,2 0 +2,6 1 +5,,2 1 +1
Boaster FNC,1 3 -2,1 1 +0,2 3 -1,4 1 +3,1 0 +1
