,sociablEE BBL,vakk BBL,LewN BBL,Jamppi BBL,PROFEK BBL
kaajak FNC,1 0 +1,,1 0 +1,,
crashies FNC,,,1 0 +1,,
Chronicle FNC,,,,,
Alfajer FNC,,,,,
Boaster FNC,1 2 -1,,0 1 -1,,
