,sociablEE BBL,vakk BBL,LewN BBL,Jamppi BBL,PROFEK BBL
kaajak FNC,2 3 -1,5 6 -1,4 2 +2,4 2 +2,0 4 -4
crashies FNC,3 3 +0,1 4 -3,4 2 +2,3 2 +1,5 1 +4
Chronicle FNC,2 4 -2,3 4 -1,4 3 +1,2 2 +0,5 2 +3
Alfajer FNC,5 3 +2,3 1 +2,3 6 -3,4 4 +0,3 4 -1
Boaster FNC,2 6 -4,4 3 +1,0 3 -3,5 2 +3,2 3 -1
