,sociablEE BBL,vakk BBL,LewN BBL,Jamppi BBL,PROFEK BBL
kaajak FNC,3 3 +0,3 2 +1,3 2 +1,0 3 -3,3 4 -1
crashies FNC,4 5 -1,6 0 +6,3 1 +2,3 3 +0,5 5 +0
Chronicle FNC,7 3 +4,2 1 +1,6 0 +6,6 2 +4,3 4 -1
Alfajer FNC,3 4 -1,3 2 +1,4 3 +1,2 2 +0,3 4 -1
Boaster FNC,2 2 +0,5 1 +4,3 2 +1,6 3 +3,4 5 -1
