,DH T1,iZu T1,Meteor T1,stax T1,BuZz T1
Flex1n DRG,4 4 +0,6 1 +5,3 5 -2,4 4 +0,3 8 -5
Demon1 DRG,3 0 +3,4 4 +0,2 8 -6,4 0 +4,5 9 -4
SpiritZ1 DRG,8 4 +4,4 4 +0,1 5 -4,6 4 +2,8 6 +2
Akeman DRG,6 6 +0,1 3 -2,5 7 -2,2 4 -2,4 4 +0
Nicc DRG,3 3 +0,4 4 +0,9 4 +5,5 4 +1,3 4 -1
