,DH T1,iZu T1,Meteor T1,stax T1,BuZz T1
Flex1n DRG,0 1 -1,1 2 -1,,,0 1 -1
Demon1 DRG,,0 1 -1,,1 0 +1,
SpiritZ1 DRG,1 1 +0,,2 0 +2,,3 0 +3
Akeman DRG,1 1 +0,3 4 -1,1 1 +0,0 1 -1,1 1 +0
Nicc DRG,,,,,
