,DH T1,iZu T1,Meteor T1,stax T1,BuZz T1
Flex1n DRG,,0 1 -1,,,
Demon1 DRG,,,,,
SpiritZ1 DRG,,0 1 -1,,,
Akeman DRG,,0 2 -2,,,
Nicc DRG,,0 2 -2,,,
