,DH T1,iZu T1,Meteor T1,stax T1,BuZz T1
Flex1n DRG,0 3 -3,2 2 +0,1 1 +0,1 1 +0,1 3 -2
Demon1 DRG,,0 1 -1,0 1 -1,1 0 +1,1 0 +1
SpiritZ1 DRG,3 1 +2,0 1 -1,2 1 +1,2 1 +1,6 0 +6
Akeman DRG,1 2 -1,3 6 -3,1 1 +0,0 1 -1,3 1 +2
Nicc DRG,,0 1 -1,1 0 +1,1 0 +1,
