,DH T1,iZu T1,Meteor T1,stax T1,BuZz T1
Flex1n DRG,0 8 -8,5 8 -3,2 1 +1,4 0 +4,1 4 -3
Demon1 DRG,3 4 -1,1 2 -1,6 1 +5,5 4 +1,6 5 +1
SpiritZ1 DRG,5 4 +1,5 2 +3,5 8 -3,4 4 +0,7 3 +4
Akeman DRG,4 6 -2,4 6 -2,4 5 -1,4 4 +0,3 1 +2
Nicc DRG,6 5 +1,7 4 +3,6 1 +5,3 4 -1,3 4 -1
