,DH T1,iZu T1,Meteor T1,stax T1,BuZz T1
Flex1n DRG,4 12 -8,11 9 +2,5 6 -1,8 4 +4,4 12 -8
Demon1 DRG,6 4 +2,5 6 -1,8 9 -1,9 4 +5,11 14 -3
SpiritZ1 DRG,13 8 +5,9 6 +3,6 13 -7,10 8 +2,15 9 +6
Akeman DRG,10 12 -2,5 9 -4,9 12 -3,6 8 -2,7 5 +2
Nicc DRG,9 8 +1,11 8 +3,15 5 +10,8 8 +0,6 8 -2
