,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Persia NS,,1 Round 22 CLZ Xdll,1 Round 4 CLZ TenTen SugarZ3ro,,,,,,,,38,1,0
Dambi NS,,2 Round 1 TenTen SugarZ3ro Round 7 SyouTa SugarZ3ro,1 Round 15 SugarZ3ro Xdll SyouTa,,,,,,,,47,0,0
Francis NS,,3 Round 18 SyouTa TenTen Round 19 SyouTa Xdll Round 22 SugarZ3ro SyouTa,,,,,,,,,44,7,0
Ivy NS,,6 Round 3 SyouTa TenTen Round 10 CLZ Xdll Round 16 Xdll SyouTa Round 21 TenTen SugarZ3ro Round 23 SyouTa CLZ Round 24 SugarZ3ro TenTen,,,,,,,,,54,0,2
margaret NS,,3 Round 10 SyouTa SugarZ3ro Round 11 SyouTa CLZ Round 24 Xdll CLZ,2 Round 12 CLZ SugarZ3ro Xdll Round 20 CLZ TenTen SugarZ3ro,,1 Round 2 SugarZ3ro TenTen SyouTa Xdll CLZ,,,,,,97,0,0
CLZ ZETA,,2 Round 8 margaret Francis Round 13 Dambi Persia,,1 Round 5 Ivy Francis margaret Persia,,,1 Round 5 Persia margaret,,,,61,2,1
SugarZ3ro ZETA,,2 Round 18 Dambi Persia Round 19 margaret Persia,2 Round 3 Dambi Persia Francis Round 9 Ivy margaret Dambi,,,1 Round 20 margaret,,,,,56,3,3
SyouTa ZETA,,1 Round 8 Ivy Dambi,,,,1 Round 24 Ivy,,,,,31,0,0
Xdll ZETA,,2 Round 4 margaret Ivy Round 14 Francis Persia,1 Round 6 Ivy margaret Persia,,,,,,,,41,1,0
TenTen ZETA,,4 Round 14 Ivy margaret Round 17 Ivy Persia Round 20 Francis Persia Round 24 Persia Dambi,1 Round 16 Dambi Ivy Persia,,,,,,,,45,1,0
