,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA,CLZ ZETA,TenTen ZETA
Francis NS,,,,,
margaret NS,,,,,0 1 -1
Ivy NS,,,,,0 3 -3
Persia NS,,1 0 +1,,1 0 +1,0 4 -4
Dambi NS,2 0 +2,,,,0 1 -1
