,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA,CLZ ZETA,TenTen ZETA
Francis NS,1 0 +1,0 1 -1,1 1 +0,0 1 -1,1 0 +1
margaret NS,,1 0 +1,,0 1 -1,1 1 +0
Ivy NS,,,,,0 1 -1
Persia NS,,0 1 -1,0 1 -1,,1 0 +1
Dambi NS,1 1 +0,,,,2 1 +1
