,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA,CLZ ZETA,TenTen ZETA
Francis NS,,,,,0 2 -2
margaret NS,,,0 1 -1,,0 3 -3
Ivy NS,,,,,0 6 -6
Persia NS,,1 0 +1,,1 0 +1,0 5 -5
Dambi NS,2 0 +2,,1 1 +0,,0 2 -2
