,SyouTa ZETA,Xdll ZETA,SugarZ3ro ZETA,CLZ ZETA,TenTen ZETA
Francis NS,,,0 1 -1,,1 0 +1
margaret NS,1 0 +1,,,,2 1 +1
Ivy NS,0 1 -1,,,1 0 +1,3 1 +2
Persia NS,,,,0 1 -1,1 0 +1
Dambi NS,,2 1 +1,,0 1 -1,1 1 +0
