,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
BuZz T1,2 0 +2,0 2 -2,0 1 -1,0 2 -2,
Meteor T1,3 1 +2,0 1 -1,,1 1 +0,2 0 +2
iZu T1,,1 0 +1,1 1 +0,0 2 -2,
Sylvan T1,1 0 +1,,0 1 -1,1 0 +1,
stax T1,,,,,
