,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
BuZz T1,4 4 +0,3 2 +1,5 2 +3,4 3 +1,5 3 +2
Meteor T1,4 5 -1,2 3 -1,5 6 -1,2 3 -1,4 1 +3
iZu T1,5 4 +1,2 2 +0,3 5 -2,3 1 +2,2 4 -2
Sylvan T1,3 2 +1,5 1 +4,1 5 -4,5 4 +1,4 3 +1
stax T1,6 4 +2,5 2 +3,6 2 +4,5 2 +3,3 3 +0
