,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
BuZz T1,4 0 +4,5 6 -1,3 5 -2,0 2 -2,3 5 -2
Meteor T1,7 1 +6,1 7 -6,2 3 -1,9 4 +5,4 1 +3
iZu T1,3 0 +3,3 3 +0,4 2 +2,7 6 +1,5 2 +3
Sylvan T1,4 2 +2,4 2 +2,2 4 -2,2 2 +0,2 5 -3
stax T1,1 2 -1,3 4 -1,5 1 +4,0 2 -2,0 3 -3
