,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
BuZz T1,2 1 +1,0 2 -2,2 2 +0,1 2 -1,0 1 -1
Meteor T1,3 4 -1,0 2 -2,0 1 -1,2 3 -1,4 0 +4
iZu T1,1 0 +1,1 0 +1,1 1 +0,0 2 -2,
Sylvan T1,1 0 +1,1 0 +1,0 2 -2,2 0 +2,
stax T1,0 1 -1,,,1 1 +0,
