,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
BuZz T1,0 1 -1,,2 1 +1,1 0 +1,0 1 -1
Meteor T1,0 3 -3,0 1 -1,0 1 -1,1 2 -1,2 0 +2
iZu T1,1 0 +1,,,,
Sylvan T1,,1 0 +1,0 1 -1,1 0 +1,
stax T1,0 1 -1,,,1 1 +0,
