,Governor APK,MOLSI APK,AvovA APK,batujnax APK,florescent APK
Wo0t TH,1 4 -3,1 5 -4,1 3 -2,3 2 +1,2 2 +0
MiniBoo TH,4 1 +3,4 4 +0,1 2 -1,0 4 -4,5 3 +2
Boo TH,2 4 -2,1 1 +0,2 6 -4,2 0 +2,2 2 +0
benjyfishy TH,2 2 +0,2 2 +0,2 6 -4,5 3 +2,1 4 -3
RieNs TH,3 3 +0,5 3 +2,0 2 -2,3 4 -1,3 4 -1
