,Governor APK,MOLSI APK,AvovA APK,batujnax APK,florescent APK
Wo0t TH,2 0 +2,4 2 +2,3 3 +0,3 4 -1,6 4 +2
MiniBoo TH,7 2 +5,3 5 -2,3 2 +1,6 1 +5,4 5 -1
Boo TH,3 2 +1,1 2 -1,4 3 +1,1 4 -3,2 2 +0
benjyfishy TH,2 2 +0,5 2 +3,4 4 +0,2 2 +0,3 3 +0
RieNs TH,2 2 +0,4 2 +2,2 4 -2,5 2 +3,4 2 +2
