,Governor APK,MOLSI APK,AvovA APK,batujnax APK,florescent APK
Wo0t TH,4 5 -1,7 12 -5,8 7 +1,10 9 +1,14 6 +8
MiniBoo TH,18 4 +14,9 12 -3,8 5 +3,9 8 +1,13 12 +1
Boo TH,8 9 -1,7 4 +3,8 12 -4,4 6 -2,6 4 +2
benjyfishy TH,7 6 +1,12 6 +6,8 12 -4,10 8 +2,6 9 -3
RieNs TH,7 7 +0,10 6 +4,5 8 -3,12 8 +4,10 9 +1
