,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,2 Round 3 Governor MOLSI Round 10 florescent Governor,,,,,,,,,34,3,0
RieNs TH,,4 Round 9 batujnax MOLSI Round 16 batujnax florescent Round 17 batujnax MOLSI Round 20 batujnax florescent,1 Round 18 Governor AvovA MOLSI,,,,,,,,60,1,0
MiniBoo TH,,4 Round 4 Governor batujnax Round 12 AvovA MOLSI Round 14 florescent batujnax Round 17 Governor florescent,2 Round 2 AvovA Governor florescent Round 13 MOLSI Governor batujnax,1 Round 1 Governor AvovA MOLSI batujnax,,,,,,,59,0,1
Wo0t TH,,2 Round 8 batujnax MOLSI Round 18 florescent batujnax,1 Round 16 Governor MOLSI AvovA,,,,,,,,72,3,0
benjyfishy TH,,4 Round 4 AvovA MOLSI Round 11 Governor florescent Round 12 batujnax Governor Round 21 batujnax florescent,,,,,,,,,50,0,2
MOLSI APK,,3 Round 2 RieNs Boo Round 4 Wo0t MiniBoo Round 17 MiniBoo benjyfishy,,,,,,,,,51,4,0
AvovA APK,,,3 Round 7 Wo0t benjyfishy Boo Round 9 Boo RieNs Wo0t Round 11 MiniBoo Boo benjyfishy,,,,,1 Round 9 Wo0t benjyfishy RieNs,,,68,3,0
Governor APK,,3 Round 1 benjyfishy Boo Round 7 MiniBoo RieNs Round 19 Boo RieNs,,,,,,,,,32,1,0
florescent APK,,2 Round 8 Boo MiniBoo Round 13 Wo0t MiniBoo,1 Round 6 RieNs benjyfishy Wo0t,1 Round 15 benjyfishy Wo0t RieNs Boo,,,,,,,47,0,0
batujnax APK,,2 Round 5 Wo0t Boo Round 11 Wo0t RieNs,1 Round 3 benjyfishy Boo RieNs,,,,,,,,52,1,0
