,Verno MIBR,artzin MIBR,cortezia MIBR,aspas MIBR,xenom MIBR
keiko TL,,,0 1 -1,1 0 +1,
penny TL,0 0,0 0,0 0,0 0,0 0
paTiTek TL,1 0 +1,,1 0 +1,,1 0 +1
kamo TL,,1 1 +0,,1 1 +0,4 1 +3
nAts TL,,,1 0 +1,0 1 -1,
