,Verno MIBR,artzin MIBR,cortezia MIBR,aspas MIBR,xenom MIBR
keiko TL,0 1 -1,,0 1 -1,2 0 +2,
penny TL,,2 0 +2,1 0 +1,2 0 +2,1 0 +1
paTiTek TL,1 1 +0,,1 1 +0,1 0 +1,1 0 +1
kamo TL,0 1 -1,1 1 +0,1 1 +0,1 1 +0,4 1 +3
nAts TL,,1 0 +1,3 0 +3,0 2 -2,1 0 +1
