,Verno MIBR,artzin MIBR,cortezia MIBR,aspas MIBR,xenom MIBR
keiko TL,0 1 -1,,,1 0 +1,
penny TL,,2 0 +2,1 0 +1,2 0 +2,1 0 +1
paTiTek TL,0 1 -1,,0 1 -1,1 0 +1,
kamo TL,0 1 -1,,1 1 +0,,
nAts TL,,1 0 +1,2 0 +2,0 1 -1,1 0 +1
