,Cryocells 100T,Boostio 100T,zander 100T,eeiu 100T,Asuna 100T
cortezia MIBR,5 2 +3,2 3 -1,3 5 -2,5 4 +1,6 0 +6
Verno MIBR,6 2 +4,4 1 +3,2 1 +1,2 0 +2,3 4 -1
aspas MIBR,1 1 +0,2 1 +1,3 3 +0,3 2 +1,3 5 -2
xenom MIBR,1 6 -5,5 1 +4,3 1 +2,3 2 +1,1 2 -1
artzin MIBR,3 4 -1,3 1 +2,5 1 +4,3 3 +0,2 7 -5
