,Cryocells 100T,Boostio 100T,zander 100T,eeiu 100T,Asuna 100T
cortezia MIBR,2 2 +0,5 3 +2,6 0 +6,3 5 -2,1 1 +0
Verno MIBR,0 1 -1,3 0 +3,1 2 -1,3 1 +2,3 1 +2
aspas MIBR,5 4 +1,5 2 +3,4 0 +4,6 1 +5,4 2 +2
xenom MIBR,5 2 +3,2 2 +0,2 1 +1,2 5 -3,6 1 +5
artzin MIBR,4 3 +1,2 0 +2,2 1 +1,1 5 -4,3 2 +1
