,Cryocells 100T,Boostio 100T,zander 100T,eeiu 100T,Asuna 100T
cortezia MIBR,,1 1 +0,3 1 +2,,2 0 +2
Verno MIBR,1 0 +1,,0 1 -1,,2 2 +0
aspas MIBR,2 0 +2,,1 1 +0,1 1 +0,1 2 -1
xenom MIBR,1 1 +0,2 0 +2,,,1 1 +0
artzin MIBR,2 2 +0,1 0 +1,1 0 +1,0 1 -1,1 3 -2
