,Cryocells 100T,Boostio 100T,zander 100T,eeiu 100T,Asuna 100T
cortezia MIBR,7 4 +3,7 6 +1,9 5 +4,8 9 -1,7 1 +6
Verno MIBR,6 3 +3,7 1 +6,3 3 +0,5 1 +4,6 5 +1
aspas MIBR,6 5 +1,7 3 +4,7 3 +4,9 3 +6,7 7 +0
xenom MIBR,6 8 -2,7 3 +4,5 2 +3,5 7 -2,7 3 +4
artzin MIBR,7 7 +0,5 1 +4,7 2 +5,4 8 -4,5 9 -4
