,Cryocells 100T,Boostio 100T,zander 100T,eeiu 100T,Asuna 100T
cortezia MIBR,,0 1 -1,2 0 +2,,
Verno MIBR,,,0 1 -1,,1 1 +0
aspas MIBR,2 0 +2,,1 0 +1,1 0 +1,1 0 +1
xenom MIBR,1 0 +1,,,,1 0 +1
artzin MIBR,1 0 +1,1 0 +1,,0 1 -1,1 0 +1
