,Xeppaa C9,v1c C9,neT C9,mitch C9,OXY C9
valyn G2,1 0 +1,,,0 2 -2,3 1 +2
jawgemo G2,2 4 -2,3 0 +3,2 3 -1,0 1 -1,5 1 +4
trent G2,,,,2 0 +2,2 3 -1
JonahP G2,1 3 -2,,3 0 +3,0 2 -2,1 3 -2
leaf G2,1 1 +0,1 0 +1,0 3 -3,1 0 +1,2 2 +0
