,Xeppaa C9,v1c C9,neT C9,mitch C9,OXY C9
valyn G2,,,,,1 0 +1
jawgemo G2,1 2 -1,1 0 +1,1 1 +0,0 1 -1,3 0 +3
trent G2,,,,1 0 +1,2 0 +2
JonahP G2,0 1 -1,,3 0 +3,0 1 -1,0 1 -1
leaf G2,1 1 +0,,0 1 -1,,1 0 +1
