,Xeppaa C9,v1c C9,neT C9,mitch C9,OXY C9
valyn G2,3 6 -3,2 5 -3,3 1 +2,2 4 -2,6 1 +5
jawgemo G2,4 6 -2,5 3 +2,6 4 +2,2 4 -2,5 2 +3
trent G2,2 0 +2,6 2 +4,3 3 +0,6 4 +2,5 3 +2
JonahP G2,5 2 +3,2 1 +1,4 2 +2,4 6 -2,1 5 -4
leaf G2,5 4 +1,1 1 +0,2 6 -4,3 2 +1,4 2 +2
