,Xeppaa C9,v1c C9,neT C9,mitch C9,OXY C9
valyn G2,6 13 -7,6 7 -1,9 5 +4,5 11 -6,12 7 +5
jawgemo G2,11 12 -1,9 7 +2,13 9 +4,6 8 -2,10 8 +2
trent G2,7 3 +4,10 8 +2,6 7 -1,11 8 +3,10 9 +1
JonahP G2,8 9 -1,4 7 -3,7 9 -2,8 9 -1,7 8 -1
leaf G2,10 8 +2,8 5 +3,4 14 -10,10 6 +4,12 8 +4
