,Xeppaa C9,v1c C9,neT C9,mitch C9,OXY C9
valyn G2,2 3 -1,2 2 +0,6 2 +4,3 3 +0,2 2 +0
jawgemo G2,4 2 +2,1 3 -2,4 3 +1,2 2 +0,2 1 +1
trent G2,3 1 +2,4 3 +1,1 2 -1,2 1 +1,2 2 +0
JonahP G2,2 4 -2,2 2 +0,1 3 -2,1 2 -1,3 1 +2
leaf G2,2 3 -1,3 2 +1,2 3 -1,4 1 +3,8 2 +6
