,Xeppaa C9,v1c C9,neT C9,mitch C9,OXY C9
valyn G2,1 4 -3,2 0 +2,0 2 -2,0 4 -4,4 4 +0
jawgemo G2,3 4 -1,3 1 +2,3 2 +1,2 2 +0,3 5 -2
trent G2,2 2 +0,0 3 -3,2 2 +0,3 3 +0,3 4 -1
JonahP G2,1 3 -2,0 4 -4,2 4 -2,3 1 +2,3 2 +1
leaf G2,3 1 +2,4 2 +2,0 5 -5,3 3 +0,0 4 -4
