,Xeppaa C9,v1c C9,neT C9,mitch C9,OXY C9
valyn G2,1 0 +1,,,0 1 -1,0 1 -1
jawgemo G2,0 1 -1,,1 1 +0,,
trent G2,,,,1 0 +1,
JonahP G2,1 2 -1,,,0 1 -1,1 1 +0
leaf G2,,1 0 +1,0 1 -1,1 0 +1,1 1 +0
