,iZu T1,BuZz T1,Meteor T1,stax T1,Sylvan T1
CHICHOO EDG,0 3 -3,4 5 -1,7 4 +3,5 3 +2,2 2 +0
ZmjjKK EDG,3 4 -1,4 2 +2,3 4 -1,2 2 +0,4 2 +2
S1Mon EDG,1 2 -1,1 4 -3,0 4 -4,3 1 +2,2 3 -1
nobody EDG,3 5 -2,0 5 -5,2 1 +1,2 0 +2,3 3 +0
Smoggy EDG,1 2 -1,3 3 +0,2 4 -2,2 2 +0,3 2 +1
